apk,color,fuel,history,make,mileage,model,owners,power,price_euro,seller,transmission,weight,year,predicted_label
Jun/27,Wit,Diesel,Ja,Fiat,8,Ducato,1,104,27900,Autobedrijf,Handgeschakeld,2035,Jun/24,0
Nieuw,Grijs,Benzine,Ja,Fiat,14204,500C,,51,15450,Autobedrijf,Handgeschakeld,955,Mar/21,5
Aug/25,Wit,Benzine,Ja,Fiat,79057,500,,51,10250,Autobedrijf,Handgeschakeld,840,Aug/25,0
Nov/25,Blauw,Stroom,,Fiat,11124,500,1,70,13950,Particulier,Automatisch,,Nov/21,0
,Wit,Diesel,,Fiat,50,Ducato,,103,35900,Autobedrijf,Handgeschakeld,2155,Jan/22,0
Nov/25,Grijs,Benzine,,Fiat,21805,500,,62,13500,Particulier,Handgeschakeld,955,Jan/20,0
Jun/27,Wit,Diesel,,Fiat,5,Ducato,,104,27445,Autobedrijf,Handgeschakeld,2035,Jun/24,5
,Grijs,Diesel,,Fiat,81541,Talento,3,107,21445,Autobedrijf,Handgeschakeld,1901,Feb/20,5
,Grijs,Benzine,,Fiat,36441,500,,51,13445,Autobedrijf,Handgeschakeld,955,Jan/21,5
Nieuw,Grijs,Diesel,,Fiat,11316,Ducato,,130,34950,Autobedrijf,Handgeschakeld,2125,Sep/20,0
,Groen,Stroom,Ja,Fiat,1,Topolino,,6,11000,Autobedrijf,,403,Jan/25,0
Jun/25,Grijs,Diesel,Ja,Fiat,52778,Scudo,3,107,18900,Autobedrijf,Handgeschakeld,1667,Jun/22,0
Sep/25,Zwart,Elektro/Benzine,,Fiat,35488,500C,,,14245,Autobedrijf,Handgeschakeld,976,Sep/21,5
Oct/27,Zwart,Stroom,Ja,Fiat,50,E-Doblo,3,100,26995,Autobedrijf,Automatisch,1565,Oct/23,0
Oct/27,Zilver,Stroom,Ja,Fiat,17,E-Doblo,3,100,29900,Autobedrijf,Automatisch,1607,Oct/23,0
Nieuw,Wit,Diesel,Ja,Fiat,15,Ducato,,103,29750,Autobedrijf,Handgeschakeld,2050,Dec/24,5
Feb/29,Blauw,Stroom,,Fiat,1,E-Doblo,,100,34450,Autobedrijf,Automatisch,1666,Feb/25,5
Nieuw,Grijs,Benzine,Ja,Fiat,13189,500,,51,15900,Autobedrijf,Handgeschakeld,1055,Apr/23,0
Nieuw,Grijs,Diesel,Ja,Fiat,15,Ducato,,104,30520,Autobedrijf,Handgeschakeld,2050,Dec/24,5
Dec/27,Wit,Diesel,,Fiat,15,Doblo,,96,21550,Autobedrijf,Handgeschakeld,1376,Dec/24,5
Apr/27,Wit,Elektro/Benzine,,Fiat,3654,Panda,1,,15900,Autobedrijf,Handgeschakeld,955,Apr/23,0
Mar/28,Zwart,Stroom,Ja,Fiat,2860,500,,51,16949,Autobedrijf,Handgeschakeld,943,Feb/24,0
Apr/28,Zwart,Benzine,,Fiat,9750,500,,51,16950,Autobedrijf,Handgeschakeld,943,Apr/24,0
,Blauw,Elektro/Benzine,Ja,Fiat,16263,500X,,,28950,Autobedrijf,Automatisch,1380,Jan/24,3
Sep/27,Blauw,Benzine,,Fiat,6272,500,,51,16440,Autobedrijf,Handgeschakeld,943,Sep/23,1
Nieuw,Grijs,Benzine,Ja,Fiat,7667,500,,51,14900,Autobedrijf,Handgeschakeld,943,Oct/23,5
Jun/26,Groen,Stroom,Ja,Fiat,4899,500e,,87,18995,Autobedrijf,Automatisch,1265,Jun/22,5
Mar/26,Grijs,Stroom,Ja,Fiat,17422,500,1,87,19900,Autobedrijf,Automatisch,1265,Mar/22,5
Nieuw,Oranje,Elektro/Benzine,Ja,Fiat,3626,500,,,15750,Autobedrijf,Handgeschakeld,943,Feb/24,0
Apr/28,Wit,Benzine,,Fiat,9564,500,,51,16950,Autobedrijf,Handgeschakeld,943,Apr/24,1
Apr/27,Groen,Stroom,Ja,Fiat,4228,500C,,51,17950,Autobedrijf,Handgeschakeld,958,Apr/23,0
,,Stroom,,Fiat,15,Topolino,,6,9750,Particulier,Automatisch,,Apr/25,0
Apr/28,Grijs,Elektro/Benzine,Ja,Fiat,17989,500C,1,51,20895,Autobedrijf,Handgeschakeld,955,Apr/24,5
,Zwart,Stroom,Ja,Fiat,10100,500e,,,21950,Autobedrijf,Automatisch,1265,Jan/21,0
Nieuw,Zwart,Stroom,Ja,Fiat,1000,500e,,,24750,Autobedrijf,Automatisch,1155,Feb/25,5
Nieuw,Zwart,Stroom,Ja,Fiat,15,500,3,87,23425,Autobedrijf,Automatisch,1265,Oct/23,5
Nieuw,Rood,Stroom,Ja,Fiat,15,500,3,71,18225,Autobedrijf,Automatisch,1155,Oct/23,5
Mar/28,Rood,Elektro/Benzine,Ja,Fiat,15629,500C,1,51,20895,Autobedrijf,Handgeschakeld,955,Mar/24,5
Nieuw,Rood,Stroom,Ja,Fiat,9,500,3,70,18425,Autobedrijf,Automatisch,1155,Oct/23,5
May/27,Grijs,Stroom,,Fiat,4870,500,,,19900,Autobedrijf,Automatisch,1265,May/23,5
Apr/28,Rood,Elektro/Benzine,Ja,Fiat,16682,500C,1,51,20895,Autobedrijf,Handgeschakeld,955,Apr/24,5
Apr/28,Grijs,Elektro/Benzine,Ja,Fiat,16957,500C,1,51,20895,Autobedrijf,Handgeschakeld,955,Apr/24,5
Nieuw,,Stroom,Ja,Fiat,15,500e,,,41490,Autobedrijf,Automatisch,1265,Jan/25,5
Nieuw,Wit,Stroom,Ja,Fiat,9852,500,,87,18450,Autobedrijf,Automatisch,1265,Sep/22,5
Nieuw,Zwart,Benzine,Ja,Fiat,17926,Panda,,51,14395,Autobedrijf,Handgeschakeld,955,Nov/22,1
Nieuw,Rood,Stroom,Ja,Fiat,15,500,,70,18400,Autobedrijf,Automatisch,1155,Sep/23,5
Sep/27,Rood,Stroom,Ja,Fiat,25,500,,,17900,Autobedrijf,Automatisch,1155,Sep/23,5
May/27,Grijs,Stroom,Ja,Fiat,306,500,,,20900,Autobedrijf,Automatisch,1265,May/23,5
Jan/27,Oranje,Elektro/Benzine,Ja,Fiat,15654,Tipo,4,,25945,Autobedrijf,Automatisch,1305,Jan/23,5
Dec/27,Rood,Benzine,,Fiat,2643,500,,51,16740,Autobedrijf,Handgeschakeld,943,Dec/23,1
,Blauw,Elektrisch,Ja,Fiat,12000,500e,,70,21950,Particulier,Automatisch,,Nov/21,0
Nieuw,Zwart,Stroom,Ja,Fiat,5481,500e,,87,26900,Autobedrijf,Automatisch,1265,May/24,5
Aug/27,Grijs,Diesel,,Fiat,12,Scudo,,106,29900,Autobedrijf,Automatisch,1755,Aug/24,1
Dec/27,Wit,Diesel,,Fiat,3,Doblo,,96,22550,Autobedrijf,Automatisch,1376,Dec/24,5
,Grijs,Diesel,,Fiat,10,Ducato,,103,28500,Autobedrijf,Handgeschakeld,2000,Sep/24,1
,Grijs,Diesel,,Fiat,17,Ducato,,132,36850,Autobedrijf,Automatisch,2120,Oct/24,0
Oct/26,Grijs,Diesel,Ja,Fiat,6567,Doblo,,75,16900,Autobedrijf,Handgeschakeld,1346,Oct/23,5
,Wit,Diesel,,Fiat,63,Ducato,,103,26950,Autobedrijf,Handgeschakeld,1978,Jun/23,0
Nieuw,Wit,Diesel,Ja,Fiat,3,Doblo,,96,21760,Autobedrijf,Automatisch,1376,Dec/24,5
,Wit,Diesel,,Fiat,12,Ducato,,103,28500,Autobedrijf,Handgeschakeld,1925,Sep/24,1
Jan/26,Wit,Diesel,,Fiat,13118,Doblo,1,77,13900,Autobedrijf,Handgeschakeld,1416,Jan/23,0
,Grijs,Stroom,,Fiat,17443,500e,,87,13400,Autobedrijf,Automatisch,1365,Aug/21,1
Nieuw,Grijs,Stroom,,Fiat,15002,500C,,87,20395,Autobedrijf,Automatisch,1305,May/22,1
Aug/28,Wit,Stroom,,Fiat,1,500,,87,33950,Autobedrijf,Automatisch,1265,Aug/24,5
Nov/28,Blauw,Benzine,,Fiat,5479,600,,74,29925,Autobedrijf,Automatisch,1255,Nov/24,5
Nieuw,Zwart,Stroom,Ja,Fiat,7321,500C,,88,22925,Autobedrijf,Automatisch,1305,May/22,5
Mar/29,Geel,Stroom,,Fiat,9,500C,,87,34340,Autobedrijf,Automatisch,1305,Mar/25,3
Nieuw,Zwart,Stroom,Ja,Fiat,6881,500C,,87,22925,Autobedrijf,Automatisch,1305,May/22,5
Nieuw,,Stroom,Ja,Fiat,7179,500C,,87,21750,Autobedrijf,Automatisch,1305,Jun/22,1
Aug/25,Grijs,Benzine,,Fiat,184120,Punto,,44,1695,Autobedrijf,Handgeschakeld,895,Sep/05,0
Nieuw,Grijs,Stroom,Ja,Fiat,14544,500,,87,24990,Autobedrijf,Automatisch,1305,Jun/21,5
Aug/26,Zwart,Stroom,,Fiat,16709,500C,,87,24250,Autobedrijf,Automatisch,1305,Aug/22,0
Oct/25,Rood,Benzine,,Fiat,122628,Seicento,6,40,999,Autobedrijf,Handgeschakeld,710,May/00,0
Nieuw,Grijs,Benzine,Ja,Fiat,15057,500,,51,15900,Autobedrijf,Handgeschakeld,1055,Mar/23,1
Oct/27,Rood,Stroom,Ja,Fiat,15,500,3,70,18425,Autobedrijf,Automatisch,1155,Oct/23,5
Oct/25,Bruin,Benzine,Ja,Fiat,53841,Panda,,48,5950,Autobedrijf,Handgeschakeld,930,Apr/13,3
Jun/25,Grijs,Benzine,,Fiat,79962,500,,51,7450,Autobedrijf,Handgeschakeld,840,Apr/12,0
,Blauw,Stroom,Ja,Fiat,70676,500,,51,13440,Autobedrijf,Handgeschakeld,955,Jan/21,5
,Rood,Benzine,Ja,Fiat,79058,500,1,59,6443,Autobedrijf,Handgeschakeld,905,May/14,0
Nieuw,Wit,Elektro/Benzine,Ja,Fiat,54462,500C,,,13695,Autobedrijf,Handgeschakeld,976,Oct/21,5
Jun/25,Zwart,Diesel,,Fiat,207219,Talento,,107,13898,Autobedrijf,Handgeschakeld,1901,Jun/20,0
Nieuw,Grijs,Benzine,Ja,Fiat,88334,500,1,59,9950,Autobedrijf,Automatisch,915,Oct/16,0
,Zwart,Diesel,Ja,Fiat,86794,Talento,,92,12995,Autobedrijf,Handgeschakeld,1772,Mar/19,0
Nieuw,Grijs,Benzine,Ja,Fiat,84735,500,,63,7950,Autobedrijf,Handgeschakeld,,Dec/15,5
May/25,Blauw,Benzine,Ja,Fiat,45321,500,,59,8750,Autobedrijf,Handgeschakeld,905,Jul/15,0
Nieuw,Wit,Benzine,Ja,Fiat,123369,500,5,60,8200,Autobedrijf,Handgeschakeld,905,May/17,5
,Blauw,Benzine,Ja,Fiat,68023,500,,51,7750,Autobedrijf,Handgeschakeld,840,Nov/13,5
Jun/25,Zwart,Benzine,,Fiat,112259,Panda,,44,3900,Autobedrijf,Automatisch,840,Nov/05,0
Apr/25,Wit,Diesel,,Fiat,103500,Ducato,2,66,19995,Particulier,Handgeschakeld,2640,Feb/02,0
Nieuw,Wit,Benzine,,Fiat,93856,Fiorino,,57,6850,Autobedrijf,Handgeschakeld,1045,Oct/18,4
,Beige,Benzine,,Fiat,109700,500,,51,7290,Autobedrijf,Handgeschakeld,840,Jan/14,0
Jul/25,Grijs,Benzine,,Fiat,108000,Seicento,,40,750,Particulier,Handgeschakeld,710,May/03,0
Jul/25,Grijs,Benzine,,Fiat,108307,Seicento,4,40,1100,Autobedrijf,Handgeschakeld,710,Mar/04,0
Nieuw,Rood,Benzine,Ja,Fiat,101064,500,,59,7450,Autobedrijf,Handgeschakeld,905,Oct/14,0
,Wit,Benzine,,Fiat,110012,Panda,2,51,3899,Autobedrijf,Handgeschakeld,835,Apr/12,0
Aug/25,,Diesel,,Fiat,187865,Ducato,,88,6950,Autobedrijf,Handgeschakeld,1900,Nov/11,0
,Zwart,Benzine,Ja,Fiat,159459,500L,6,77,6950,Autobedrijf,Handgeschakeld,1295,Apr/14,0
Oct/25,Zwart,Benzine,Ja,Fiat,136551,Punto Evo,7,74,4950,Autobedrijf,Handgeschakeld,1065,Aug/14,0
,Rood,Benzine,Ja,Fiat,76196,500,1,60,8745,Autobedrijf,Handgeschakeld,905,Mar/15,0
Nieuw,Zwart,Benzine,Ja,Fiat,147994,500,,63,5745,Autobedrijf,Handgeschakeld,905,Oct/11,0
May/25,Zwart,Benzine,Ja,Fiat,144308,500X,2,104,9950,Autobedrijf,Handgeschakeld,1295,Dec/15,0
Jul/25,Wit,Benzine,Ja,Fiat,133930,Panda,,51,3250,Autobedrijf,Handgeschakeld,835,Jul/10,0
Aug/25,Grijs,Diesel,,Fiat,287972,Punto Evo,,59,2645,Autobedrijf,Handgeschakeld,1120,Nov/15,0
Sep/25,Wit,Benzine,,Fiat,152690,500,,63,4795,Autobedrijf,Handgeschakeld,875,Sep/12,0
Oct/25,Wit,Benzine,,Fiat,154069,500,,59,5995,Autobedrijf,Handgeschakeld,905,Feb/14,0
Nieuw,Wit,Benzine,Ja,Fiat,132512,500,2,51,7945,Autobedrijf,Automatisch,875,Jan/12,0
Jun/25,Zwart,Benzine,,Fiat,223421,500,5,63,3445,Autobedrijf,Handgeschakeld,905,Dec/13,0
Nov/25,Rood,Benzine,Ja,Fiat,70549,500,,51,10450,Autobedrijf,Handgeschakeld,840,Aug/18,0
Jun/25,Zwart,Benzine,Ja,Fiat,66560,500X,1,104,17749,Autobedrijf,Automatisch,1295,May/18,5
Jan/26,Rood,Diesel,Ja,Fiat,105632,Talento,,107,14900,Autobedrijf,Handgeschakeld,1765,Dec/20,5
,Wit,Diesel,,Fiat,120900,Doblo,,70,7800,Autobedrijf,Handgeschakeld,1360,Feb/17,1
Nieuw,,Diesel,Ja,Fiat,104000,Talento,,70,8219,Autobedrijf,Handgeschakeld,1700,Aug/18,1
Nieuw,Grijs,Benzine,Ja,Fiat,101144,500,,51,10940,Autobedrijf,Handgeschakeld,940,Jun/18,5
May/26,Grijs,Benzine,Ja,Fiat,103788,500,,51,10950,Autobedrijf,Handgeschakeld,840,Jul/18,0
Jun/25,Blauw,Benzine,Ja,Fiat,106501,500C,2,77,13950,Autobedrijf,Handgeschakeld,955,May/17,0
Apr/26,Wit,Diesel,Ja,Fiat,116072,Doblo,,60,8800,Autobedrijf,Handgeschakeld,1265,Nov/17,0
Nieuw,Wit,Benzine,Ja,Fiat,119499,500C,,59,9995,Autobedrijf,Handgeschakeld,945,Oct/17,5
Jul/25,Rood,Diesel,,Fiat,100920,Ducato,,88,5950,Autobedrijf,Handgeschakeld,1973,Jul/10,0
Sep/25,,Diesel,,Fiat,123249,Fiorino,,55,3990,Autobedrijf,Handgeschakeld,1065,Sep/15,0
Jan/26,Wit,Benzine,,Fiat,108171,500,,51,5200,Particulier,Automatisch,915,May/10,0
Jun/25,Grijs,Benzine,Ja,Fiat,103308,Panda,2,51,3950,Autobedrijf,Handgeschakeld,835,Nov/10,0
Sep/25,Zwart,Benzine,Ja,Fiat,101832,500C,2,63,9450,Autobedrijf,Handgeschakeld,945,Aug/14,5
Nov/25,Wit,Benzine,,Fiat,112153,500,,51,6945,Autobedrijf,Handgeschakeld,840,Mar/12,0
Sep/25,Grijs,Benzine,Ja,Fiat,120137,Panda,2,44,4950,Autobedrijf,Handgeschakeld,930,Sep/14,0
Nieuw,Wit,Benzine,,Fiat,119561,Punto Evo,,51,5450,Autobedrijf,Handgeschakeld,990,Mar/13,0
May/25,Zwart,Diesel,Ja,Fiat,101592,Doblo,,77,5100,Autobedrijf,Handgeschakeld,1365,May/17,0
Jan/26,Zwart,Benzine,Ja,Fiat,101557,Punto Evo,,74,5450,Autobedrijf,Handgeschakeld,1065,Apr/14,0
Jan/26,Wit,Benzine,Ja,Fiat,117721,500,2,63,6840,Autobedrijf,Handgeschakeld,905,Jan/14,0
,Rood,Benzine,Ja,Fiat,106282,500,,63,5745,Autobedrijf,Handgeschakeld,905,Apr/11,0
Mar/26,Zwart,Benzine,,Fiat,117424,500,,51,5900,Autobedrijf,Handgeschakeld,840,May/12,0
Oct/25,Zwart,Benzine,Ja,Fiat,117296,500,1,51,6850,Particulier,Handgeschakeld,880,Mar/12,0
Nov/25,Grijs,Benzine,Ja,Fiat,114603,500,,63,5945,Autobedrijf,Handgeschakeld,905,Aug/11,0
Jun/25,Rood,Benzine,,Fiat,114807,Panda,3,51,3199,Autobedrijf,Handgeschakeld,835,Apr/11,0
Feb/26,Paars,Benzine,Ja,Fiat,115798,500C,,63,7245,Autobedrijf,Automatisch,955,Jul/13,0
Mar/25,Zwart,Benzine,Ja,Fiat,110000,500 Abarth,,136,11999,Particulier,Automatisch,1060,Jun/14,0
Feb/26,Zwart,Benzine,Ja,Fiat,124655,Punto Evo,,51,3545,Autobedrijf,Handgeschakeld,990,May/11,0
Nieuw,Zwart,Benzine,Ja,Fiat,103662,Panda,,50,3750,Autobedrijf,Handgeschakeld,835,Jan/11,0
Apr/26,Zwart,Benzine,Ja,Fiat,103458,500,,51,6995,Autobedrijf,Handgeschakeld,840,May/14,0
Jun/26,Zwart,Benzine,Ja,Fiat,111842,Panda,,51,2750,Autobedrijf,Handgeschakeld,835,Oct/10,0
Apr/26,Paars,Benzine,,Fiat,105961,Panda,2,51,2699,Autobedrijf,Handgeschakeld,835,Mar/11,0
,Blauw,Benzine,,Fiat,117362,Panda,1,51,2975,Particulier,Handgeschakeld,835,May/11,0
Feb/25,Grijs,Benzine,Ja,Fiat,100000,500,,63,7750,Particulier,Automatisch,915,Dec/13,0
Mar/26,Grijs,Benzine,,Fiat,105942,500,,59,6750,Autobedrijf,Automatisch,915,Dec/14,0
Nov/25,Wit,Benzine,,Fiat,123851,500,,51,4950,Autobedrijf,Handgeschakeld,840,Sep/11,0
Aug/25,Zwart,Benzine,Ja,Fiat,124990,500,,63,5700,Autobedrijf,Handgeschakeld,905,Feb/12,0
Jul/25,Zwart,Benzine,,Fiat,118000,500,,51,6250,Particulier,Handgeschakeld,840,Apr/14,0
Sep/25,Grijs,Benzine,,Fiat,111491,500,,51,4945,Autobedrijf,Handgeschakeld,840,Oct/12,0
Nov/25,Grijs,Benzine,Ja,Fiat,104223,500,,63,5950,Autobedrijf,Half/Semi-automaat,915,Sep/12,0
,Zwart,Benzine,,Fiat,102508,500,,51,4950,Autobedrijf,Handgeschakeld,840,Dec/10,0
Feb/26,Rood,Benzine,Ja,Fiat,34323,Panda,1,51,7950,Autobedrijf,Handgeschakeld,915,Feb/17,0
Aug/25,Grijs,Benzine,Ja,Fiat,124316,500,,51,4925,Autobedrijf,Handgeschakeld,840,Nov/11,0
Feb/25,Beige,Benzine,Ja,Fiat,92400,500C,,51,9450,Autobedrijf,Handgeschakeld,880,Mar/15,0
,Grijs,Diesel,,Fiat,121150,Ducato,,96,39500,Particulier,,2244,Sep/14,0
Nieuw,Zwart,Benzine,,Fiat,133027,500X,3,104,13950,Autobedrijf,Automatisch,1295,Aug/18,5
Mar/26,Rood,Benzine,Ja,Fiat,54795,500C,2,60,9950,Autobedrijf,Handgeschakeld,945,Mar/17,5
Aug/25,Wit,Benzine,Ja,Fiat,97928,500,,59,7645,Autobedrijf,Handgeschakeld,905,Aug/17,0
Nieuw,Zwart,Benzine,Ja,Fiat,75785,500 Abarth,,103,13950,Autobedrijf,Automatisch,1020,Jan/15,0
,Grijs,Benzine,Ja,Fiat,136335,Panda,4,44,4450,Autobedrijf,Handgeschakeld,930,Mar/14,0
Feb/26,Wit,Diesel,,Fiat,97566,Talento,,88,14240,Autobedrijf,Handgeschakeld,1756,Jan/19,5
Apr/26,Zwart,Benzine,,Fiat,81688,Punto Evo,,73,8745,Autobedrijf,Handgeschakeld,1065,Apr/17,0
Mar/26,Wit,Diesel,Ja,Fiat,91060,Talento,2,93,17400,Autobedrijf,Handgeschakeld,1772,Feb/19,0
Nieuw,Wit,Diesel,Ja,Fiat,84871,Fiorino,,55,6950,Autobedrijf,Handgeschakeld,1185,May/16,0
Nieuw,Wit,Diesel,Ja,Fiat,90112,Fiorino,2,60,6950,Autobedrijf,Handgeschakeld,1185,Nov/18,5
Jan/27,Zwart,Benzine,Ja,Fiat,124959,500X,,88,13900,Autobedrijf,Handgeschakeld,1295,Jan/19,0
Feb/27,Blauw,Benzine,,Fiat,122081,500C,,59,11950,Autobedrijf,Handgeschakeld,975,Feb/19,0
Dec/25,,Diesel,Ja,Fiat,99884,Doblo,3,66,8790,Autobedrijf,Handgeschakeld,1265,Mar/15,5
Nieuw,Zwart,Benzine,Ja,Fiat,113428,Punto Evo,,74,7250,Autobedrijf,Handgeschakeld,1065,Sep/15,0
Dec/26,Grijs,Benzine,,Fiat,48824,500,2,60,11750,Autobedrijf,Handgeschakeld,905,Dec/18,0
Oct/25,Wit,Benzine,Ja,Fiat,116051,500C,,51,7990,Autobedrijf,Handgeschakeld,880,Sep/15,0
Nieuw,Groen,Benzine,Ja,Fiat,118553,500X,,104,13950,Autobedrijf,Handgeschakeld,1295,Oct/16,0
Nieuw,Blauw,Benzine,Ja,Fiat,116286,500X,3,104,14750,Autobedrijf,Automatisch,1295,Jun/18,5
Feb/26,Zwart,Benzine,,Fiat,106000,500,,44,7250,Particulier,Handgeschakeld,840,Feb/15,0
Sep/25,Grijs,Benzine,,Fiat,137426,Punto Evo,2,74,5995,Autobedrijf,Handgeschakeld,1065,Jan/17,0
Dec/25,Zwart,Benzine,,Fiat,104000,500,,51,9900,Particulier,Handgeschakeld,840,Oct/18,0
,Grijs,Benzine,,Fiat,122302,Panda,,59,6995,Autobedrijf,Handgeschakeld,950,Sep/16,1
May/25,Rood,Benzine,,Fiat,55947,500 Abarth,,107,14500,Autobedrijf,Handgeschakeld,1010,Jul/17,0
Nieuw,Zwart,Benzine,Ja,Fiat,122556,500,,44,7995,Autobedrijf,Handgeschakeld,840,Aug/17,5
Jul/25,Grijs,Benzine,,Fiat,105114,500,,59,6745,Autobedrijf,Handgeschakeld,905,Aug/15,5
Mar/26,Grijs,Diesel,Ja,Fiat,120458,Ducato,2,96,15950,Autobedrijf,Automatisch,1865,Jun/18,0
Nov/25,Zwart,Benzine,,Fiat,104383,500X,1,100,10949,Autobedrijf,Handgeschakeld,1295,Feb/16,0
Sep/25,Zilver,Diesel,,Fiat,91617,Doblo,,77,6950,Autobedrijf,Handgeschakeld,1295,Sep/18,0
Mar/26,Zwart,Benzine,Ja,Fiat,101015,500C,,51,7970,Autobedrijf,Handgeschakeld,880,Mar/15,5
Oct/26,Groen,Benzine,Ja,Fiat,88000,500C,,51,14950,Autobedrijf,Handgeschakeld,955,Oct/20,0
Nieuw,Zwart,Benzine,Ja,Fiat,108541,Panda,1,51,6450,Autobedrijf,Handgeschakeld,915,Apr/15,5
Dec/25,,Benzine,,Fiat,97630,500C,,51,13995,Autobedrijf,Handgeschakeld,955,Dec/19,0
Nov/25,Zwart,Benzine,Ja,Fiat,94658,500,,51,12950,Autobedrijf,Handgeschakeld,950,May/19,0
Nieuw,Rood,Benzine,Ja,Fiat,89560,500X,,110,21950,Autobedrijf,Automatisch,1295,Nov/19,0
,Zwart,Benzine,,Fiat,117183,500X,2,104,9950,Autobedrijf,Handgeschakeld,1295,May/15,0
Dec/25,Grijs,Stroom,,Fiat,85712,500e,2,83,9300,Autobedrijf,Automatisch,1285,Sep/16,0
Aug/26,Rood,Benzine,,Fiat,87077,500,,51,11400,Autobedrijf,Handgeschakeld,955,Aug/20,5
Aug/25,Zwart,Benzine,,Fiat,87617,500C Abarth,2,107,18950,Autobedrijf,Handgeschakeld,1050,Aug/18,0
Mar/26,Groen,Benzine,,Fiat,88440,500,,51,10500,Autobedrijf,Handgeschakeld,840,Sep/16,0
Nov/25,Zwart,Benzine,Ja,Fiat,81042,500,,51,8499,Autobedrijf,Handgeschakeld,840,Feb/15,0
Mar/26,Zwart,Benzine,Ja,Fiat,92370,500,,59,8945,Autobedrijf,Handgeschakeld,905,Feb/16,5
Aug/25,Blauw,Benzine,,Fiat,92067,500C,,51,9950,Autobedrijf,Handgeschakeld,880,Aug/16,0
Jan/26,Zwart,Benzine,Ja,Fiat,99734,500,4,60,11450,Autobedrijf,Automatisch,915,Apr/16,0
Nieuw,Blauw,Benzine,Ja,Fiat,92330,500,,51,8900,Autobedrijf,Handgeschakeld,840,Oct/15,4
Nieuw,Groen,Benzine,Ja,Fiat,81382,500,,59,12940,Autobedrijf,Handgeschakeld,905,May/18,0
,Zwart,Benzine,Ja,Fiat,95000,500,1,51,10000,Particulier,Handgeschakeld,,Nov/17,0
Mar/26,Grijs,Benzine,,Fiat,98501,500,,77,11225,Particulier,Handgeschakeld,955,Mar/17,0
Jul/26,Zwart,Benzine,,Fiat,97363,500,,77,11270,Autobedrijf,Handgeschakeld,915,Jun/18,0
,Grijs,Diesel,,Fiat,66713,Talento,,107,17950,Autobedrijf,Handgeschakeld,1901,Mar/20,5
Nieuw,Blauw,Benzine,,Fiat,23201,500,,51,15950,Autobedrijf,Handgeschakeld,933,Jun/23,5
Nieuw,Wit,Benzine,Ja,Fiat,3006,Tipo,,73,22950,Autobedrijf,Handgeschakeld,1245,Jan/23,0
May/26,Groen,Stroom,Ja,Fiat,8685,500C,1,88,21888,Autobedrijf,Automatisch,1305,May/22,5
Apr/26,Zwart,Stroom,Ja,Fiat,8445,500C,1,88,20888,Autobedrijf,Automatisch,1305,Apr/22,5
Apr/26,,Stroom,Ja,Fiat,11128,500C,1,87,20888,Autobedrijf,Automatisch,1305,Apr/22,5
Apr/26,Wit,Diesel,,Fiat,61621,Ducato,,103,23440,Autobedrijf,Handgeschakeld,1985,Apr/23,1
,Grijs,Diesel,Ja,Fiat,71119,Scudo,2,130,26900,Autobedrijf,Automatisch,1696,Mar/22,0
Oct/26,Wit,Diesel,,Fiat,67698,Scudo,,107,21900,Autobedrijf,Handgeschakeld,1845,Oct/23,1
Jun/26,Blauw,Benzine,,Fiat,67804,500,,51,12950,Autobedrijf,Handgeschakeld,935,Jan/20,0
May/26,Rood,Stroom,Ja,Fiat,58173,500,,51,14950,Autobedrijf,Handgeschakeld,975,May/22,5
Jan/26,Zwart,Diesel,Ja,Fiat,71474,Doblo,1,77,10900,Autobedrijf,Handgeschakeld,1370,Jul/20,5
Feb/27,Zwart,Benzine,Ja,Fiat,54041,500X,,110,23750,Autobedrijf,Automatisch,1295,Jan/22,0
Feb/27,Grijs,Benzine,,Fiat,58493,500,,51,15900,Autobedrijf,Handgeschakeld,975,Jan/22,5
Nieuw,Zwart,Benzine,Ja,Fiat,50953,Panda,,51,13945,Autobedrijf,Handgeschakeld,955,Jan/23,1
Apr/26,Blauw,Benzine,,Fiat,146222,500,,63,5750,Autobedrijf,Handgeschakeld,905,Aug/11,0
Jun/26,Blauw,Benzine,Ja,Fiat,64030,Doblo,,71,7995,Autobedrijf,Handgeschakeld,1240,Jul/12,0
Feb/27,Grijs,Benzine,,Fiat,54060,500,,51,12950,Autobedrijf,Handgeschakeld,955,Feb/21,5
Mar/26,Geel,Diesel,,Fiat,71541,Ducato,,85,8750,Autobedrijf,Handgeschakeld,2050,Jan/14,0
Jun/25,Blauw,Benzine,Ja,Fiat,165423,500,,63,4938,Autobedrijf,Handgeschakeld,905,Mar/11,3
Oct/25,Wit,Benzine,Ja,Fiat,74250,500C,,51,10450,Autobedrijf,Handgeschakeld,880,Sep/15,0
Apr/26,Grijs,Benzine,,Fiat,63876,Panda,2,63,9449,Autobedrijf,Half/Semi-automaat,975,Sep/14,5
Nieuw,Wit,Benzine,Ja,Fiat,51592,500X,2,104,14925,Autobedrijf,Handgeschakeld,1295,Aug/15,5
Apr/26,Blauw,Benzine,,Fiat,68966,Panda,,51,4950,Autobedrijf,Handgeschakeld,835,Mar/11,5
Nieuw,Grijs,Benzine,Ja,Fiat,54370,500C,4,60,8925,Autobedrijf,Handgeschakeld,945,May/14,5
May/26,Wit,Benzine,,Fiat,75187,500,,51,13450,Autobedrijf,Handgeschakeld,935,May/20,0
