apk,color,fuel,history,make,mileage,model,owners,power,price_euro,seller,transmission,weight,year,predicted_label
May/25,Rood,Benzine,,Alfa,180265,Romeo Spider,,106,6500,Particulier,Handgeschakeld,1325,Sep/00,0
Nieuw,Zwart,Diesel,Ja,Alfa,13449,Romeo Giulia,,118,38950,Autobedrijf,Automatisch,1470,Sep/22,5
Nieuw,Grijs,Elektro/Benzine,Ja,Alfa,36671,Romeo Tonale,,96,31950,Autobedrijf,Half/Semi-automaat,1500,Oct/22,0
May/25,Grijs,Benzine,,Alfa,191680,Romeo 156,6,104,2499,Autobedrijf,Handgeschakeld,1330,Jul/04,0
,Blauw,Benzine,,Alfa,188821,Romeo GT,10,122,2750,Particulier,Half/Semi-automaat,1295,Sep/04,0
,Zwart,Benzine,,Alfa,241850,Romeo 166,6,162,3250,Particulier,Automatisch,1585,Mar/02,5
Sep/25,Wit,Diesel,,Alfa,175525,Romeo Giulia,,100,20950,Autobedrijf,Automatisch,1420,Aug/19,1
Nov/25,Rood,Benzine,,Alfa,137255,Romeo Giulietta,1,125,14945,Autobedrijf,Automatisch,1280,Nov/17,5
Jul/25,Zwart,Benzine,,Alfa,193512,Romeo 159,,136,3650,Autobedrijf,Handgeschakeld,1515,Feb/08,3
Nieuw,Zwart,Benzine,Ja,Alfa,23832,Romeo MiTo,,77,12835,Autobedrijf,Handgeschakeld,1105,Sep/18,0
Jun/26,Grijs,Benzine,Ja,Alfa,52583,Romeo Giulia,,148,34925,Autobedrijf,Automatisch,1404,Aug/20,5
Jun/25,Wit,Benzine,Ja,Alfa,98347,Romeo Giulietta,,125,15950,Autobedrijf,Automatisch,1280,Jun/17,0
,Grijs,Benzine,Ja,Alfa,50093,Romeo Giulietta,1,88,23945,Autobedrijf,Handgeschakeld,1255,Feb/21,5
Jun/25,Rood,Benzine,,Alfa,37187,Romeo MiTo,,103,13850,Autobedrijf,Automatisch,1145,Dec/16,0
,Grijs,Benzine,,Alfa,73528,Romeo Quadrifoglio,,375,84945,Autobedrijf,Automatisch,1805,May/22,5
Nieuw,Rood,Benzine,Ja,Alfa,37424,Romeo Stelvio,1,207,33900,Autobedrijf,Automatisch,1635,Feb/18,4
,,Benzine,,Alfa,42122,Romeo Giulia,,148,99999,Autobedrijf,Automatisch,1404,Aug/22,1
Nieuw,Grijs,Elektro/Benzine,Ja,Alfa,29946,Romeo Tonale,,132,39950,Autobedrijf,Half/Semi-automaat,1810,Aug/23,0
Jul/25,Zwart,Benzine,Ja,Alfa,61955,Romeo Spider,2,136,17500,Autobedrijf,Handgeschakeld,1505,Dec/06,0
,Zwart,Benzine,Ja,Alfa,67745,Romeo MiTo,2,77,7999,Autobedrijf,Handgeschakeld,1065,Sep/10,5
Sep/27,Grijs,Elektro/Benzine,,Alfa,26819,Romeo Tonale,,206,35800,Autobedrijf,Automatisch,1810,Sep/23,5
Jun/26,Grijs,Benzine,Ja,Alfa,69590,Romeo Giulietta,2,125,13250,Particulier,Automatisch,1280,Apr/12,0
Nieuw,Zwart,Benzine,Ja,Alfa,69952,Romeo Stelvio,,375,57950,Autobedrijf,Automatisch,1805,Apr/18,5
Nov/25,Grijs,Benzine,,Alfa,75422,Romeo MiTo,,73,8945,Autobedrijf,Handgeschakeld,1105,Nov/15,5
,Grijs,Diesel,Ja,Alfa,113638,Romeo Stelvio,,118,25450,Autobedrijf,Automatisch,1635,May/19,0
Nieuw,Zwart,Benzine,Ja,Alfa,99951,Romeo Giulietta,,88,13950,Autobedrijf,Handgeschakeld,1280,Nov/17,0
Oct/25,Rood,Benzine,Ja,Alfa,122059,Romeo Stelvio,3,207,35950,Autobedrijf,Automatisch,1635,Aug/18,4
Nieuw,Zwart,Benzine,Ja,Alfa,69952,Romeo Stelvio,,375,57950,Autobedrijf,Automatisch,1805,Apr/18,5
Mar/26,Blauw,Benzine,,Alfa,168814,Romeo Giulia,8,147,19450,Autobedrijf,Automatisch,1404,Nov/17,5
Mar/27,Zwart,Benzine,Ja,Alfa,52505,Romeo Stelvio,,149,30000,Autobedrijf,Automatisch,1635,Jun/18,5
Nov/26,Grijs,Stroom,Ja,Alfa,38460,Romeo Tonale,,96,31900,Autobedrijf,Automatisch,1500,Nov/22,0
Jan/26,Rood,Benzine,Ja,Alfa,114571,Romeo Giulietta,2,177,18745,Autobedrijf,Automatisch,1295,Apr/16,0
Jul/25,Wit,Benzine,Ja,Alfa,158235,Romeo Giulia,2,206,24990,Autobedrijf,Automatisch,1505,Apr/17,0
,Rood,Benzine,Ja,Alfa,98376,Romeo Giulia,,147,23500,Autobedrijf,Automatisch,1404,Aug/17,0
Mar/26,Blauw,Benzine,,Alfa,74003,Romeo Giulia,,148,36940,Autobedrijf,Automatisch,1404,Mar/20,0
Mar/24,Grijs,Benzine,Ja,Alfa,109000,Romeo GT,2,122,6650,Particulier,Handgeschakeld,1395,Apr/08,0
Nieuw,Rood,Benzine,Ja,Alfa,65500,Romeo Giulia,,147,33950,Autobedrijf,Automatisch,1404,Jun/18,0
,Wit,Benzine,Ja,Alfa,78913,Romeo Giulia,2,147,28950,Particulier,Automatisch,,Jun/19,1
,Grijs,Benzine,,Alfa,210828,Romeo GT,12,122,1744,Autobedrijf,Handgeschakeld,1295,Mar/07,0
Nieuw,Rood,Diesel,Ja,Alfa,137549,Romeo Stelvio,,140,24950,Autobedrijf,Automatisch,1720,Apr/19,0
,Zwart,Benzine,,Alfa,246090,Romeo MiTo,4,77,2500,Particulier,Handgeschakeld,1065,Sep/10,0
,Blauw,Benzine,,Alfa,262567,Romeo 159,,103,1300,Particulier,Handgeschakeld,1290,Mar/06,0
Nieuw,Grijs,Benzine,Ja,Alfa,260615,Romeo Giulietta,3,125,3900,Autobedrijf,Handgeschakeld,1265,Oct/10,0
,Grijs,Benzine,Ja,Alfa,62357,Romeo Giulietta,,213,21950,Particulier,Handgeschakeld,,Feb/17,0
Nov/25,Rood,Benzine,Ja,Alfa,192936,Romeo MiTo,,58,1645,Autobedrijf,Handgeschakeld,1055,Sep/09,0
Jan/26,Grijs,Benzine,,Alfa,53499,Romeo Giulia,,206,39999,Autobedrijf,Automatisch,1754,Jan/21,0
Nieuw,Zwart,Benzine,Ja,Alfa,168653,Romeo 159,,103,4950,Autobedrijf,Handgeschakeld,1405,Jun/08,0
,Zwart,Benzine,,Alfa,36000,Romeo Stelvio,,206,38500,Particulier,Automatisch,1755,Oct/20,5
Dec/25,Zwart,Benzine,,Alfa,93485,Romeo MiTo,1,99,4350,Particulier,Handgeschakeld,1110,Aug/09,0
,Zwart,Benzine,Ja,Alfa,205189,Romeo 159,,103,3949,Autobedrijf,Handgeschakeld,1455,Jan/09,0
,Zwart,Benzine,,Alfa,279000,Romeo 159,1,136,800,Particulier,Handgeschakeld,1515,May/08,1
,Grijs,Benzine,,Alfa,180000,Romeo 159,,191,4200,Particulier,Handgeschakeld,1655,Jan/08,0
